Categoria,Imagen,Codigo,Nombre,Cantidad,Precio,Cantidad 2,Precio 2,Cantidad 3,Precio 3,imagenhot,imagensp,,https://www.herramientasyconexiones.com/productos/m/1673631333-59.jpg
Plomeria,https://www.herramientasyconexiones.com/productos/m/1589841652-33.jpg,TOMA12,Abrazadera para toma de agua 2 pulg x 1/2pulg de salida ,1 ó más,35.40,,,,,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/1589842023-113.jpg,TOMA34,Abrazadera para toma de agua 2 pulg x 3/4 pulg de salida ,1 ó más,36.80,,,,,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/1622296650-70.jpg,ADAPLAV112,Adaptador lavadero salida 1 1/2 pulg ,1 ó más,7.80,,,,,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/1622296741-18.jpg,ADAPLAV2,Adaptador lavadero salida 2 pulg ,1 ó más,7.80,,,,,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/1723218340-117.jpg,73042,Boton push para desague , 1 a 11,30.20, 12  a 23,28.40, 24 o más,26.90,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/Brida-para-tinaco-364242.jpg,brida,Brida para tinaco ,1 ó más,19.10,,,,,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/1718307522-145.jpg,68015,CALENTADOR INSTANTANEO 4 lts ,1 ó más,1221.00,,,,,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/1653084511-90.jpg,CELAV,Carton empaques LAVABO 30 pzas ,1 ó más,94.40,,,,,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/1653084602-65.jpg,CELLA,Carton empaques LLAVE NARIZ 30 pzas ,1 ó más,94.40,,,,,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/1653084305-122.jpg,CEMIX,Carton empaques MIXTO 30 pzas ,1 ó más,94.40,,,,,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/1653084451-22.jpg,CEREG,Carton empaques REGADERA 30 pzas ,1 ó más,94.40,,,,,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/1653084752-104.jpg,CETAR,Carton empaques TARJA 30 pzas ,1 ó más,94.40,,,,,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/1744825014-49.jpg,CESC12,Cespol flexible fregadero 1.5pulg , 1 a 11,29.00, 12 o más,26.90,,,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/1668196812-115.jpg,GUSANO,CESPOL FLEXIBLE MULTIFORMAS DOS CHUPONES ,1 ó más,16.50,,,,,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/1668196586-13.jpg,CESFFRE,Cespol flexible para fregadero con bote ,1 ó más,35.00,,,,,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/1668196722-2.jpg,CESLE,Cespol flexible para lavabo ,1 ó más,26.50,,,,,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/1668196491-49.jpg,CESFLAV,Cespol flexible para lavabo con bote ,1 ó más,31.20,,,,,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/1668200369-92.jpg,CESFCON,CESPOL PARA FREGADERO CON CONTRACANASTA ,1 ó más,41.30,,,,,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/1705416906-110.jpg,F1920,Cespol para fregadero con Contracanasta ALTA RESISTENCIA , 1 a 11,56.30, 12 o más,51.80,,,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/1668196661-132.jpg,CESFE,CESPOL PARA FREGADERO SIN CONTRACANASTA ,1 ó más,28.80,,,,,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/1735233642-83.jpg,2219,Cespol para lavabo multiformas con casquillo inoxidable ,1 ó más,27.90,,,,,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/1768922803-39.jpg,60615,Cespol plast. cromado MULTIUSOS , 1 a 11,24.90, 12  a 23,23.40, 24 o más,22.30,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/1627134495-131.jpg,60603,Cespol plast. cromado para fregadero con contracanasta mixta , 1 a 11,48.80, 12  a 23,45.90, 24 o más,43.70,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/1751037322-138.jpg,61535,Cespol plast. cromado para lavabo con desague tipo moneda , 1 a 11,43.60, 12  a 23,41.00, 24 o más,39.10,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/1768922939-95.jpg,60617,Cespol plast. cromado para lavabo PUSH y ANTI OLORES , 1 a 11,85.90, 12  a 23,80.80, 24 o más,76.90,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/1751314093-110.jpg,60607,Cespol plast. cromado para lavabo TAPON PUSH , 1 a 11,59.60, 12  a 23,56.10, 24 o más,53.50,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/1768923013-124.jpg,60612,Cespol plast. NEGRO con tapon sin reboce , 1 a 11,66.10, 12  a 23,62.20, 24 o más,59.30,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/1738880143-125.jpg,CGNC3838,CG niple campana 3 8x3 8 tropicalizado paq 25 pzas ,1 ó más,215.90,,,,,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/1738879309-23.jpg,CGNT3838,CG niple terminal 3 8x3 8 tropicalizado paq 25 pzas ,1 ó más,224.90,,,,,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/CG-niple-union-3-8x3-8-tropicalizado-paq-50-pzas-611688.jpg,CGNU3838,CG niple union 3/8x3/8 tropicalizado paq 25 pzas ,1 ó más,187.50,,,,,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/1738879505-27.jpg,CGPPRC,CG punta pool rosca corta  tropicalizado ,1 ó más,12.80,,,,,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/2049330956-135.jpg,CGPPRL,CG punta pool rosca larga  tropicalizado ,1 ó más,27.50,,,,,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/CG-tuerca-conica-3-8-enlatonada-paq-50-pzas-561546.jpg,CGTC38,CG tuerca conica 3/8 latonada paq 25 pzas ,1 ó más,207.50,,,,,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/1760046974-71.jpg,35424,CG Valvula control de gas 3 8x1 2 ,1 ó más,35.90,,,,,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/1609848441-8.jpg,chup,Chupon para bebedero acero inoxidable con filtro ,1 ó más,29.80,,,,,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/1778181168-65.jpg,E001,Coladera acero inox 10x10 cms , 1 a 11,26.10, 12  a 23,24.60, 24 o más,23.40,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/1760124147-145.jpg,C113B,Coladera universal reforzada BLANCA ,1 ó más,15.50,,,,,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/452703245-125.jpg,C113C,Coladera universal reforzada CROMADA ,1 ó más,15.50,,,,,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/1760124118-35.jpg,C113N,Coladera universal reforzada NEGRA ,1 ó más,15.50,,,,,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/1609848448-139.jpg,hembra,Conexión hembra de ½  Paquete con 50 pzas ,1 ó más,162.50,,,,,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/1611094709-31.jpg,HEMB,Conexión hembra latonada 1 /2 c/empaque , 1 a 99,8.90, 100 o más,7.90,,,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/1712342946-48.jpg,70010,contracanasta mixta para fregadero , 1 a 11,23.90, 12  a 23,22.50, 24 o más,21.40,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
Plomeria,https://www.herramientasyconexiones.com/productos/m/1730475470-34.jpg,70011,Contracanasta para fregadero de metal , 1 a 11,40.20, 12  a 23,37.70, 24 o más,35.90,https://www.herramientasyconexiones.com/productos/m/1775670970-130.jpg,,,
