Categoría,Imagen,Código,Nombre,Rango de Cantidad 1,Precio 1,Rango de Cantidad 2,Precio 2,Rango de Cantidad 3,Precio 3
Herramientas,https://www.herramientasyconexiones.com/productos/m/1660759681-7.jpg,3056,Amarrador economico , 1 a 5,$59.80, 6 o más,$57.40,,
Herramientas,https://www.herramientasyconexiones.com/productos/m/1776452879-99.jpg,8173,Arco METALICO mini con segueta 12 pulgadas , 1 a 11,$29.10, 12  a 23,$27.30, 24 o más,$26.00
Herramientas,https://www.herramientasyconexiones.com/productos/m/1637948481-113.jpg,7004,arco metálico para segueta 12 pulg , 1 a 23,$30.20, 24  a 47,$28.30, 48 o más,$25.50
Herramientas,https://www.herramientasyconexiones.com/productos/m/1660759014-144.jpg,2341,Arco para calar con seguetas  , 1 a 11,$40.60, 12 o más,$38.60,,
Herramientas,https://www.herramientasyconexiones.com/productos/m/1575294209-131.jpg,30327,Arco para jardinero tubular 21 pulg con sierra. , 1 a 5,$48.30, 6  a 11,$45.40, 12 o más,$43.20
Herramientas,https://www.herramientasyconexiones.com/productos/m/1582907392-131.jpg,7008,Arco para segueta mango plast. 12 pulg. , 1 a 23,$27.90, 24  a 48,$26.20, 49 o más,$24.90
Herramientas,https://www.herramientasyconexiones.com/productos/m/1760024337-11.jpg,FF015,arco tipo industrial para segueta reforzado , 1 a 5,$80.30, 6  a 11,$75.50, 12 o más,$71.90
Herramientas,https://www.herramientasyconexiones.com/productos/m/1601069882-59.jpg,7007,arco tubular para segueta 12 pulg reforzado , 1 a 23,$43.60, 24  a 47,$41.00, 48 o más,$39.10
Herramientas,https://www.herramientasyconexiones.com/productos/m/1753803460-36.jpg,30489,autoclear 1/2 jgo de dados 9 PZAS MM , 1 a 2,$110.40, 3  a 5,$103.70, 6 o más,$98.80
Herramientas,https://www.herramientasyconexiones.com/productos/m/1737735637-143.jpg,30488,autoclear 1/2 jgo de dados 9 PZAS STD , 1 a 2,$110.40, 3  a 5,$103.70, 6 o más,$98.80
Herramientas,https://www.herramientasyconexiones.com/productos/m/1677882350-42.jpg,67077,autoclear jgo de dados 25 pzas mataraca 1/2 pulg , 1 a 2,$206.40, 3  a 5,$194.10, 6 o más,$184.80
Herramientas,https://www.herramientasyconexiones.com/productos/m/1612026298-12.jpg,AUTO1045,Autoclear jgo de dados 40 pzas , 1 a 5,$123.80, 6  a 11,$116.40, 12 o más,$110.80
Herramientas,https://www.herramientasyconexiones.com/productos/m/1768847677-44.jpg,F0034,Autoclear jgo de dados y puntas 46 pzas , 1 a 2,$120.30, 3  a 5,$113.10, 6 o más,$107.70
Herramientas,https://www.herramientasyconexiones.com/productos/m/1649777771-132.jpg,AUTO1046,Autocler 40 pzas , 1 a 5,$107.20, 6  a 11,$99.80, 12 o más,$96.00
Herramientas,https://www.herramientasyconexiones.com/productos/m/1654015058-149.jpg,AUTO1052,Autocler std 1 4 con 46 pzas INDUSTRIAL , 1 a 2,$193.50, 3  a 5,$181.90, 6 o más,$173.20
Herramientas,https://www.herramientasyconexiones.com/productos/m/1744643541-111.jpg,33026,Barras extension 1 2 pulg jgo 4 pzas , 1 a 2,$143.40, 3  a 5,$134.80, 6 o más,$128.40
Herramientas,https://www.herramientasyconexiones.com/productos/m/1652825746-107.jpg,80104,Bomba aire de pie reforzada  , 1 a 5,$72.70, 6  a 11,$68.40, 12 o más,$65.10
Herramientas,https://www.herramientasyconexiones.com/productos/m/1768942723-148.jpg,33167,Bomba de aire manual LATINTUL 116 psi , 1 a 2,$162.80, 3  a 5,$153.10, 6 o más,$145.80
Herramientas,https://www.herramientasyconexiones.com/productos/m/1699636371-3.jpg,33377,bomba de aire manual PORTABLE en bici , 1 a 5,$54.90, 6  a 11,$51.70, 12 o más,$49.20
Herramientas,https://www.herramientasyconexiones.com/productos/m/1707866168-106.jpg,BOMB1000,bomba de aire manual ref. mango met.  , 1 a 11,$68.00, 12  a 23,$63.90, 24 o más,$60.90
Herramientas,https://www.herramientasyconexiones.com/productos/m/1769179648-74.jpg,BRI1,Brida para tubo de 1 pulg  jgo 2 pzas , 1 a 23,$4.10, 24  a 47,$3.90, 48 o más,$3.70
Herramientas,https://www.herramientasyconexiones.com/productos/m/1769179648-74.jpg,BRI12,Brida para tubo de 1/2 pulg jgo 2 pzas , 1 a 23,$3.90, 24  a 47,$3.70, 48 o más,$3.50
Herramientas,https://www.herramientasyconexiones.com/productos/m/Broquero-10-mm--3-8pulg--301136.jpg,13270,Broquero 10 mm (3/8pulg) , 1 a 5,$81.40, 6  a 11,$76.50, 12 o más,$72.80
Herramientas,https://www.herramientasyconexiones.com/productos/m/1749581901-150.jpg,7313,Camara para carretilla , 1 a 11,$26.30, 12 o más,$25.20,,
Herramientas,https://www.herramientasyconexiones.com/productos/m/1652385641-129.jpg,CL1C,Carton clavo 1pulg concreto , 1 a 11,$26.50, 12  a 23,$24.90, 24 o más,$23.70
Herramientas,https://www.herramientasyconexiones.com/productos/m/1652385641-129.jpg,CL1C,Carton clavo 1pulg concreto , 1 a 11,$26.50, 12  a 23,$24.90, 24 o más,$23.70
Herramientas,https://www.herramientasyconexiones.com/productos/m/1652385567-103.jpg,CCPM,Carton cola de pato mediano , 1 a 11,$26.50, 12  a 23,$24.90, 24 o más,$23.70
Herramientas,https://www.herramientasyconexiones.com/productos/m/1652386079-20.jpg,NAV1F,Carton de navaja un solo filo , 1 a 11,$26.50, 12  a 23,$24.90, 24 o más,$23.70
Herramientas,https://www.herramientasyconexiones.com/productos/m/Cincel-1-x-10-pulg-393025.jpg,30706,Cincel 1 x 10 pulg , 1 a 11,$46.90, 12  a 23,$44.10, 24 o más,$41.90
Herramientas,https://www.herramientasyconexiones.com/productos/m/1599314592-33.jpg,30701,Cincel 5 8x6pulg , 1 a 11,$33.50, 12  a 23,$31.50, 24 o más,$29.90
Herramientas,https://www.herramientasyconexiones.com/productos/m/1599314752-125.jpg,30703,Cincel 7 8x8pulg , 1 a 11,$35.00, 12  a 23,$32.90, 24 o más,$31.30
Herramientas,https://www.herramientasyconexiones.com/productos/m/1768863796-3.jpg,13503,Cincel ergonomico corte fino 1 x 8 pulg , 1 a 5,$62.30, 6  a 11,$58.60, 12 o más,$55.80
Herramientas,https://www.herramientasyconexiones.com/productos/m/1768863796-3.jpg,13501,Cincel ergonomico corte fino 3 4 x 8 pulg , 1 a 5,$46.70, 6  a 11,$43.90, 12 o más,$41.80
Herramientas,https://www.herramientasyconexiones.com/productos/m/1768863796-3.jpg,13505,Cincel ergonomico corte fino 7 8 x 10 pulg , 1 a 5,$60.20, 6  a 11,$56.60, 12 o más,$53.90
Herramientas,https://www.herramientasyconexiones.com/productos/m/1768863796-3.jpg,13502,Cincel ergonomico corte fino 7 8 x 8 pulg , 1 a 5,$54.00, 6  a 11,$50.80, 12 o más,$48.40
Herramientas,https://www.herramientasyconexiones.com/productos/m/1672174716-86.jpg,32103,cincho plastico 3.5 mm x 20 cms 100 pzas negro , 1 a 23,$14.60, 24  a 47,$13.70, 48 o más,$13.10
Herramientas,https://www.herramientasyconexiones.com/productos/m/1672174716-86.jpg,32104,cincho plastico 3.5 mm x 25 cms 100 pzas negro , 1 a 23,$17.60, 24  a 47,$16.50, 48 o más,$15.80
Herramientas,https://www.herramientasyconexiones.com/productos/m/1573325581-113.jpg,32108,cincho plastico blanco 2.5mm x 10 cm   100 pzas , 1 a 23,$4.70, 24  a 47,$4.40, 48 o más,$4.20
Herramientas,https://www.herramientasyconexiones.com/productos/m/1640733298-70.jpg,32109,cincho plastico blanco 3.5mm x 15 cm   100 pzas , 1 a 23,$11.10, 24  a 47,$10.40, 48 o más,$9.90
Herramientas,https://www.herramientasyconexiones.com/productos/m/1573325914-95.jpg,32110,cincho plastico blanco 3.5mm x 20 cm 100 pzas , 1 a 23,$14.60, 24  a 47,$13.70, 48 o más,$13.10
Herramientas,https://www.herramientasyconexiones.com/productos/m/1640733356-19.jpg,32111,cincho plastico blanco 3.5mm x 25 cm   100 pzas , 1 a 23,$17.60, 24  a 47,$16.50, 48 o más,$15.80
Herramientas,https://www.herramientasyconexiones.com/productos/m/1682523623-18.jpg,32101,CINCHO PLASTICO NEGRO 2.5MM X 10 CM   100 PZAS , 1 a 23,$4.50, 24  a 49,$4.20, 50 o más,$4.00
Herramientas,https://www.herramientasyconexiones.com/productos/m/1712272988-128.jpg,32102,CINCHO PLASTICO NEGRO 3.5MM X 15 CM   100 PZAS , 1 a 23,$11.10, 24  a 47,$10.40, 48 o más,$9.90
Herramientas,https://www.herramientasyconexiones.com/productos/m/1772820026-92.jpg,30207,cincho plastico NERGRO 3.5mm x 20 cm 100 pzas , 1 a 23,$9.40, 24  a 49,$8.80, 50 o más,$8.40
